time-step   Msd  Diffusion 
1 0.133136101441 0.0221893502402
2 0.455339768374 0.0379449806979
3 0.848520975144 0.0471400541746
4 1.26399034801 0.0526662645005
5 1.70484564956 0.0568281883187
6 2.17851811294 0.0605143920261
7 2.67977575217 0.0638041845755
8 3.19838181887 0.0666329545599
9 3.72738418949 0.0690256331387
10 4.26343932021 0.0710573220034
11 4.80407887037 0.0727890737935
12 5.34656918844 0.074257905395
13 5.88822909073 0.0754901165479
14 6.42676506536 0.076509107921
15 6.96048645157 0.0773387383508
16 7.48849202912 0.0780051253033
17 8.01062996728 0.0785355879145
18 8.52734821006 0.078956927871
19 9.03929141825 0.0792920299846
20 9.54748391304 0.079562365942
21 10.0529907615 0.0797856409643
22 10.5566002669 0.0799742444465
23 11.0591336269 0.0801386494701
24 11.5617108774 0.0802896588706
25 12.065400952 0.0804360063467
26 12.5709833243 0.0805832264381
27 13.0789284184 0.0807341260393
28 13.5894945323 0.0808898484067
29 14.1024965233 0.0810488305939
30 14.6179051064 0.0812105839243
31 15.1358624148 0.0813756043806
32 15.6566087726 0.0815448373573
33 16.1803144081 0.0817187596367
34 16.7069082499 0.081896609068
35 17.2363553612 0.0820778826721
36 17.7685247845 0.082261688817
37 18.3035781444 0.0824485502001
38 18.8419929944 0.0826403201509
39 19.3842515896 0.0828386820068
40 19.9303358785 0.0830430661606
41 20.4797315481 0.0832509412523
42 21.0323440153 0.0834616826002
43 21.588482916 0.0836762903719
44 22.1482524203 0.0838948955316
45 22.7114066033 0.084116320753
46 23.277448121 0.0843385801484
47 23.8461534595 0.0845608278704
48 24.4173404617 0.0847824321588
49 24.9907632012 0.0850025959224
50 25.5661472449 0.0852204908165
